date,y1,y2,y3
2019-01-01,-22.139028319910295,-25.037599786844822,-39.76123018172401
2019-01-02,-27.393853638509075,-29.21968991330147,-44.1475663073777
2019-01-03,-27.052907159211735,-30.364413672723725,-42.51705826791265
2019-01-04,-23.334840479720487,-29.765809259103555,-39.750297405394335
2019-01-05,-22.942431090584872,-27.850031423382113,-47.0140065417355
2019-01-06,-23.373765081225102,-26.70971597700906,-47.136688392911275
2019-01-07,-24.087213798422844,-28.40742679362217,-46.59185236699575
2019-01-08,-24.468333180185837,-28.211988505058493,-46.89175806679066
2019-01-09,-23.575365867944885,-29.600100513118594,-46.39207260453886
2019-01-10,-23.701110362979833,-32.3766858981093,-46.676865747441404
2019-01-11,-24.237244618290536,-30.993781003290316,-45.33199382980618
2019-01-12,-23.001157540183982,-30.25711829613053,-44.048462849905356
2019-01-13,-21.36008553378567,-30.225900746448307,-38.34285877906893
2019-01-14,-20.732339779249482,-29.00694552504656,-37.047248619506696
2019-01-15,-21.0892553649874,-28.29596664040338,-36.62315855846036
2019-01-16,-21.52923509959669,-29.08742779711643,-35.07783118416858
2019-01-17,-23.082168771818573,-29.98334532468246,-35.79709572776502
2019-01-18,-24.305768755094288,-29.001464104454133,-34.50285022131314
2019-01-19,-22.734894317780757,-27.122643730970346,-33.33066417560573
2019-01-20,-20.26004366878199,-28.364578091230094,-32.8535860404618
2019-01-21,-19.374589529382575,-29.28972018804792,-33.23752343769502
2019-01-22,-19.491900480616085,-31.102388852838132,-32.89386783538793
2019-01-23,-20.70734401013344,-32.573221077642025,-31.48834947805724
2019-01-24,-21.41345515349919,-31.756876133623123,-32.06474999708571
2019-01-25,-21.660506364887393,-32.035469839834064,-31.681028934943797
2019-01-26,-22.84268903233608,-33.06781510476071,-31.41580055099909
2019-01-27,-23.24589308001511,-30.532137168793916,-31.789623250905525
2019-01-28,-24.590523071360444,-29.022579890134242,-32.77831670242949
2019-01-29,-24.118783039612495,-30.932451699529217,-32.9915950028688
2019-01-30,-23.141103661982577,-32.759210229805625,-33.76849391290759
2019-01-31,-22.42788637718355,-34.16315500872153,-33.05248734433384
2019-02-01,-21.28021584175267,-32.88702312887623,-33.32951969027412
2019-02-02,-21.706151920856836,-33.365935922106594,-32.04989422291623
2019-02-03,-21.612058795600554,-33.61064338423177,-31.612166479320752
2019-02-04,-22.460907537702123,-34.07706787327024,-31.768568338186423
2019-02-05,-22.485160403765885,-38.11373140343842,-31.180583279089422
2019-02-06,-22.480974549333578,-37.58831852315113,-29.157704939965594
2019-02-07,-24.47668256664346,-37.97799945130361,-29.442481502204814
2019-02-08,-26.109018672734475,-38.502643844699854,-30.982758989575537
2019-02-09,-24.95612904079595,-38.16399976717647,-31.643251323053498
2019-02-10,-24.68678607532291,-36.617949920696965,-30.501006327193586
2019-02-11,-25.525719252077263,-36.43846127053265,-32.147804181359525
2019-02-12,-25.760639325870944,-35.81272447462204,-30.684334972500896
2019-02-13,-24.35328813281316,-34.12229171107839,-31.531218003952446
2019-02-14,-22.66888610437545,-33.408586504555856,-31.918208286825493
2019-02-15,-22.731760299902284,-31.69092035737204,-33.02305604697382
2019-02-16,-23.402983459971317,-30.793750391852846,-33.03797308191928
2019-02-17,-22.383959350214113,-30.13672028538022,-30.883485416412352
2019-02-18,-21.631395742839377,-32.32362384416699,-31.57039231803805
2019-02-19,-19.957430333380355,-33.22012026641287,-31.882936073203798
2019-02-20,-21.36445753893933,-33.18669204425057,-32.00058105413277
2019-02-21,-20.978354803780977,-34.91476761751336,-31.43659480295476
2019-02-22,-21.467553459535388,-33.04131756708274,-29.70240635081076
2019-02-23,-21.939426658917554,-32.40354196832385,-31.865596594028933
2019-02-24,-23.113336071636077,-32.8149169817116,-33.31288767242557
2019-02-25,-25.370079193464704,-33.87404245494106,-34.78457221166126
2019-02-26,-25.727033140920263,-36.368572774661246,-35.41639651536911
2019-02-27,-27.18608674321118,-36.46920621745163,-36.82602953226852
2019-02-28,-26.299300046505707,-36.288499231311135,-35.77743477467999
2019-03-01,-25.452028161494535,-34.32043985909757,-36.01329995554825
2019-03-02,-24.892728545447664,-34.05301982314498,-35.904216599142124
2019-03-03,-24.459559137683783,-34.624907376454615,-36.19107339631892
2019-03-04,-24.609046911852325,-34.18161776050827,-37.47633113518112
2019-03-05,-24.642385319091026,-33.637053564650465,-38.09689570782983
2019-03-06,-25.58588692664283,-33.33353684214265,-40.05372121128604
2019-03-07,-23.550290237036922,-33.33801637269492,-41.22983214696056
2019-03-08,-25.34141132261023,-33.24423998476388,-42.308416992048876
2019-03-09,-25.678588934040505,-34.67927226135228,-41.33874998087055
2019-03-10,-24.736644938911546,-35.01119334296065,-42.463258585304594
2019-03-11,-25.82845011010428,-35.78536541347613,-43.234818916485565
2019-03-12,-26.339529464571783,-33.92277035816605,-42.66654923509573
2019-03-13,-26.688552969803744,-30.47049959632733,-42.253547123804516
2019-03-14,-26.372594432224126,-29.982600376455057,-44.047815531052464
2019-03-15,-24.369810637547648,-28.405352131664696,-43.689310939214295
2019-03-16,-24.721051708935708,-27.570971159495613,-46.40852682811594
2019-03-17,-22.71644922598645,-27.748734329664288,-46.017452137358966
2019-03-18,-23.72396810946897,-29.634661692503517,-48.031974336834544
2019-03-19,-24.153777257298103,-29.652999372470145,-49.03371038569583
2019-03-20,-27.60270602731762,-29.950532680865784,-49.77303330582614
2019-03-21,-26.897855773804803,-31.720088541953608,-50.20984654012308
2019-03-22,-26.868030664250924,-32.302737784814106,-50.39841036082015
2019-03-23,-26.659697885120814,-32.394187303167264,-50.918463405007316
2019-03-24,-26.710104249912554,-29.927217888366982,-50.55863138815243
2019-03-25,-28.146164906066346,-32.056035825198045,-52.546645102847634
2019-03-26,-27.26078589845045,-31.000209092765918,-52.51604425038269
2019-03-27,-22.701889952203352,-30.58728098317928,-47.00859078896304
2019-03-28,-20.201244148340283,-30.7397468794167,-41.71835394481387
2019-03-29,-19.076945392904605,-29.47076462576517,-43.86138069721162
2019-03-30,-21.954831399830248,-28.277645258498058,-45.89497618475211
2019-03-31,-24.734614511080295,-30.81092697965841,-47.73409505007483
2019-04-01,-28.83917192565471,-33.16233721149501,-49.09048095821295
2019-04-02,-27.39462046079358,-34.03591502480746,-46.20260087979772
2019-04-03,-26.249433213805663,-34.767190620059395,-41.95141218836203
2019-04-04,-30.389788453090684,-36.90440270960393,-42.718968085891454
2019-04-05,-29.442862903003334,-37.45062472394626,-44.9716888253715
2019-04-06,-33.20289040225903,-38.58240497311271,-50.32794135003692
2019-04-07,-39.366498182410545,-41.66185050505933,-53.77349460047904
2019-04-08,-39.14519525218904,-43.517545543764136,-56.12172325181532
2019-04-09,-37.388375806376416,-45.386164165319286,-57.07527190224238
